#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Provincia_PA,Sigla_provincia_PA,Bando_SDA,Valore_economico_Base_Asta,Durata_media_fornitura,N_AS_Pubblicati,N_PA_Appaltanti,N_PO
"2020","COMUNI","SICILIA","TRAPANI","TP","SERVIZI ASSICURATIVI","6753","12","1","1","1"
"2020","COMUNI","SICILIA","MESSINA","ME","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","2085330,25","24","2","1","1"
"2020","COMUNI","LOMBARDIA","MILANO","MI","ICT - SDAPA","599987","12","1","1","1"
"2020","REGIONI","MARCHE","ANCONA","AN","ICT - SDAPA","1120500","36","1","1","1"
"2020","REGIONI","SICILIA","PALERMO","PA","FARMACI","4067936,53","21","1","1","1"
"2020","REGIONI","BASILICATA","POTENZA","PZ","ICT - SDAPA","989848,46","36","1","1","1"
"2020","REGIONI","FRIULI VENEZIA GIULIA","TRIESTE","TS","FARMACI","1840479","11","2","1","1"
"2020","PROVINCE","CAMPANIA","NAPOLI","NA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","353920","12","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","SICILIA","CATANIA","CT","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","798130,9","24","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","PIEMONTE","TORINO","TO","ICT - SDAPA","517870,83","60","1","1","1"
"2020","ENTI DI DIRITTO ALLO STUDIO","MARCHE","ANCONA","AN","DERRATE ALIMENTARI","3395600","24","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","LAZIO","ROMA","RM","ICT - SDAPA","18513194","21","8","3","4"
"2020","MINISTERI E AGENZIE FISCALI","LAZIO","ROMA","RM","DERRATE ALIMENTARI","800000","9","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","LAZIO","LATINA","LT","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","423452,68","24","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","LAZIO","ROMA","RM","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","71936177,7","27,6","5","4","4"
"2020","MINISTERI E AGENZIE FISCALI","LAZIO","ROMA","RM","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","901742,6","18","2","2","2"
"2020","MINISTERI E AGENZIE FISCALI","LAZIO","ROMA","RM","SERVIZI POSTALI, SERVIZI DI CONSEGNA PLICHI E PACCHI TRAMITE CORRIERE E SERVIZI CONNESSI","13384100,28","36","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","PUGLIA","TARANTO","TA","SERVIZI DI LAVANOLO","162200","12","2","1","1"
"2020","MINISTERI E AGENZIE FISCALI","SICILIA","PALERMO","PA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","2258874,21","36","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","TOSCANA","FIRENZE","FI","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","515246,16","29","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","CAMPANIA","NAPOLI","NA","ARREDI","465739,54","6","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","CAMPANIA","NAPOLI","NA","ICT - SDAPA","367513","12","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","CAMPANIA","SALERNO","SA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","528000","12","2","1","1"
"2020","MINISTERI E AGENZIE FISCALI","PIEMONTE","TORINO","TO","DERRATE ALIMENTARI","7038761,35","48","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","PIEMONTE","TORINO","TO","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","10866424,88","48","4","1","1"
"2020","MINISTERI E AGENZIE FISCALI","SARDEGNA","SASSARI","SS","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","755537,06","36","2","1","1"
"2020","MINISTERI E AGENZIE FISCALI","BASILICATA","POTENZA","PZ","ICT - SDAPA","160000","24","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","EMILIA ROMAGNA","BOLOGNA","BO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","254880","32","1","1","1"
"2020","MINISTERI E AGENZIE FISCALI","FRIULI VENEZIA GIULIA","PORDENONE","PN","DERRATE ALIMENTARI","944364,48","8","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","LAZIO","ROMA","RM","FARMACI","299575","12","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","LAZIO","VITERBO","VT","FARMACI","4157478","24","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","LAZIO","ROMA","RM","ICT - SDAPA","300000","48","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","MARCHE","ANCONA","AN","FARMACI","47564444,93","36","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","MARCHE","ANCONA","AN","SERVIZI POSTALI, SERVIZI DI CONSEGNA PLICHI E PACCHI TRAMITE CORRIERE E SERVIZI CONNESSI","4411437,3","36","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","PUGLIA","BARLETTA-ANDRIA-TRANI","BT","SERVIZI DI RISTORAZIONE","12610070,71","42","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","UMBRIA","PERUGIA","PG","ARREDI","450000","12","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","ABRUZZO","TERAMO","TE","ICT - SDAPA","773600","36","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","ABRUZZO","TERAMO","TE","APPARECCHIATURE ELETTROMEDICALI","320000","48","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","SIRACUSA","SR","FARMACI","1176760,1","12","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","SIRACUSA","SR","ICT - SDAPA","603938,4","36","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","MESSINA","ME","AUSILI TECNICI PER PERSONE DISABILI","262858","36","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","RAGUSA","RG","ANTISETTICI, AGHI E SIRINGHE, MEDICAZIONI","84000","24","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","CALABRIA","CATANZARO","CZ","SERVIZI ASSICURATIVI","296000","24","1","1","1"
"2020","AZIENDE SANITARIE LOCALI E PROVINCIALI","CALABRIA","CROTONE","KR","OSSIGENOTERAPIA DOMICILIARE","1548330","36","1","1","1"
"2020","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","LAZIO","ROMA","RM","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","150000","36","1","1","1"
"2020","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","LAZIO","ROMA","RM","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","1837163","36","1","1","1"
"2020","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","UMBRIA","PERUGIA","PG","FARMACI","17947752,46","24","1","1","1"
"2020","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TOSCANA","PISA","PI","ICT - SDAPA","166500","36","1","1","1"
"2020","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TRENTINO ALTO ADIGE","BOLZANO/BOZEN","BZ","ICT - SDAPA","3838240","53,33","3","1","1"
"2020","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TRENTINO ALTO ADIGE","TRENTO","TN","ICT - SDAPA","690000","36","1","1","1"
"2020","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","LAZIO","ROMA","RM","ICT - SDAPA","6750525,12","36","2","1","2"
"2020","ENTI PUBBLICI NON ECONOMICI DELLO STATO ED AUTHORITY","LAZIO","ROMA","RM","ICT - SDAPA","9925730,49","32","3","3","3"
"2020","ENTI PUBBLICI NON ECONOMICI DELLO STATO ED AUTHORITY","LAZIO","ROMA","RM","DERRATE ALIMENTARI","51857966","6","9","1","1"
"2020","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","ROMA","RM","ICT - SDAPA","1050000","36","1","1","1"
"2020","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","BARI","BA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","540000","24","1","1","1"
"2020","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","GENOVA","GE","FARMACI","6316986,91","12","1","1","1"
"2020","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SICILIA","MESSINA","ME","FARMACI","505646","12","1","1","1"
"2020","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","ALESSANDRIA","AL","ARREDI","127500","36","1","1","1"
"2020","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","TORINO","TO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","4000000","36","1","1","1"
"2020","AZIENDE, ISTITUTI, SOCIETA', CONSORZI ED ENTI DI SERVIZI SANITARI PUBBLICI","LIGURIA","GENOVA","GE","FARMACI","1285518514,23","36","1","1","1"
